Licences:
Apache-2.0
BSD-3-Clause
EPL-2.0
MIT

Packages:
com.apicatalog:carbon-did; Apache-2.0
com.apicatalog:copper-multibase; Apache-2.0
com.apicatalog:copper-multicodec; Apache-2.0
com.apicatalog:iron-verifiable-credentials; Apache-2.0
com.apicatalog:titanium-json-ld; Apache-2.0
com.carrotsearch.thirdparty:simple-xml-safe; Apache-2.0
com.fasterxml.jackson.core:jackson-annotations; Apache-2.0
com.fasterxml.jackson.core:jackson-core; Apache-2.0
com.fasterxml.jackson.core:jackson-databind; Apache-2.0
com.fasterxml.jackson.module:jackson-module-jakarta-xmlbind-annotations; Apache-2.0
com.github.stephenc.jcip:jcip-annotations; Apache-2.0
com.google.code.findbugs:jsr305; Apache-2.0
com.google.code.gson:gson; Apache-2.0
com.google.crypto.tink:tink; Apache-2.0
com.google.errorprone:error_prone_annotations; Apache-2.0
com.google.guava:failureaccess; Apache-2.0
com.google.guava:guava; Apache-2.0
com.google.guava:listenablefuture; Apache-2.0
com.google.protobuf:protobuf-java; BSD-3-Clause
com.nimbusds:nimbus-jose-jwt; Apache-2.0
com.squareup.okhttp3:okhttp; Apache-2.0
com.squareup.okio:okio-jvm; Apache-2.0
commons-codec:commons-codec; Apache-2.0
commons-io:commons-io; Apache-2.0
dev.failsafe:failsafe; Apache-2.0
io.minio:minio; Apache-2.0
io.opentelemetry.instrumentation:opentelemetry-instrumentation-annotations; Apache-2.0
io.opentelemetry:opentelemetry-api; Apache-2.0
io.opentelemetry:opentelemetry-context; Apache-2.0
io.setl:rdf-urdna; Apache-2.0
jakarta.activation:jakarta.activation-api; BSD-3-Clause
jakarta.annotation:jakarta.annotation-api; EPL-2.0
jakarta.inject:jakarta.inject-api; Apache-2.0
jakarta.transaction:jakarta.transaction-api; EPL-2.0
jakarta.validation:jakarta.validation-api; Apache-2.0
jakarta.ws.rs:jakarta.ws.rs-api; EPL-2.0
jakarta.xml.bind:jakarta.xml.bind-api; BSD-3-Clause
net.bytebuddy:byte-buddy; Apache-2.0
org.apache.commons:commons-compress; Apache-2.0
org.apache.commons:commons-lang3; Apache-2.0
org.bouncycastle:bcpkix-jdk18on; Apache-2.0
org.bouncycastle:bcprov-jdk18on; Apache-2.0
org.bouncycastle:bcutil-jdk18on; Apache-2.0
org.checkerframework:checker-qual; Apache-2.0
org.eclipse.edc:asset-spi; Apache-2.0
org.eclipse.edc:boot; Apache-2.0
org.eclipse.edc:boot-lib; Apache-2.0
org.eclipse.edc:boot-spi; Apache-2.0
org.eclipse.edc:control-plane-api-client-spi; Apache-2.0
org.eclipse.edc:core-spi; Apache-2.0
org.eclipse.edc:crypto-common-lib; Apache-2.0
org.eclipse.edc:data-plane-core; Apache-2.0
org.eclipse.edc:data-plane-spi; Apache-2.0
org.eclipse.edc:data-plane-util; Apache-2.0
org.eclipse.edc:http; Apache-2.0
org.eclipse.edc:identity-did-spi; Apache-2.0
org.eclipse.edc:identity-trust-spi; Apache-2.0
org.eclipse.edc:jersey-core; Apache-2.0
org.eclipse.edc:jersey-providers-lib; Apache-2.0
org.eclipse.edc:jetty-core; Apache-2.0
org.eclipse.edc:json-ld-spi; Apache-2.0
org.eclipse.edc:jwt-spi; Apache-2.0
org.eclipse.edc:keys-spi; Apache-2.0
org.eclipse.edc:policy-engine-spi; Apache-2.0
org.eclipse.edc:policy-model; Apache-2.0
org.eclipse.edc:runtime-metamodel; Apache-2.0
org.eclipse.edc:state-machine-lib; Apache-2.0
org.eclipse.edc:store-lib; Apache-2.0
org.eclipse.edc:token-core; Apache-2.0
org.eclipse.edc:token-spi; Apache-2.0
org.eclipse.edc:transfer-spi; Apache-2.0
org.eclipse.edc:transform-spi; Apache-2.0
org.eclipse.edc:util-lib; Apache-2.0
org.eclipse.edc:validator-spi; Apache-2.0
org.eclipse.edc:verifiable-credentials-spi; Apache-2.0
org.eclipse.edc:web-spi; Apache-2.0
org.eclipse.jetty.toolchain:jetty-jakarta-servlet-api; EPL-2.0
org.eclipse.jetty.toolchain:jetty-jakarta-websocket-api; MIT
org.eclipse.jetty.websocket:websocket-core-client; MIT
org.eclipse.jetty.websocket:websocket-core-common; MIT
org.eclipse.jetty.websocket:websocket-core-server; MIT
org.eclipse.jetty.websocket:websocket-jakarta-client; MIT
org.eclipse.jetty.websocket:websocket-jakarta-common; MIT
org.eclipse.jetty.websocket:websocket-jakarta-server; Apache-2.0
org.eclipse.jetty.websocket:websocket-servlet; MIT
org.eclipse.jetty:jetty-alpn-client; MIT
org.eclipse.jetty:jetty-annotations; Apache-2.0
org.eclipse.jetty:jetty-client; MIT
org.eclipse.jetty:jetty-http; MIT
org.eclipse.jetty:jetty-io; MIT
org.eclipse.jetty:jetty-jndi; EPL-2.0
org.eclipse.jetty:jetty-plus; Apache-2.0
org.eclipse.jetty:jetty-security; MIT
org.eclipse.jetty:jetty-server; MIT
org.eclipse.jetty:jetty-servlet; MIT
org.eclipse.jetty:jetty-util; EPL-2.0
org.eclipse.jetty:jetty-webapp; MIT
org.eclipse.jetty:jetty-xml; MIT
org.glassfish.hk2.external:aopalliance-repackaged; EPL-2.0
org.glassfish.hk2:hk2-api; EPL-2.0
org.glassfish.hk2:hk2-locator; EPL-2.0
org.glassfish.hk2:hk2-utils; EPL-2.0
org.glassfish.hk2:osgi-resource-locator; EPL-2.0
org.glassfish.jersey.containers:jersey-container-servlet; EPL-2.0
org.glassfish.jersey.containers:jersey-container-servlet-core; EPL-2.0
org.glassfish.jersey.core:jersey-client; EPL-2.0
org.glassfish.jersey.core:jersey-common; EPL-2.0
org.glassfish.jersey.core:jersey-server; EPL-2.0
org.glassfish.jersey.ext:jersey-entity-filtering; EPL-2.0
org.glassfish.jersey.inject:jersey-hk2; EPL-2.0
org.glassfish.jersey.media:jersey-media-json-jackson; EPL-2.0
org.glassfish.jersey.media:jersey-media-multipart; EPL-2.0
org.glassfish:jakarta.json; Apache-2.0
org.javassist:javassist; EPL-2.0
org.jetbrains.kotlin:kotlin-stdlib; Apache-2.0
org.jetbrains.kotlin:kotlin-stdlib-common; Apache-2.0
org.jetbrains.kotlin:kotlin-stdlib-jdk7; Apache-2.0
org.jetbrains.kotlin:kotlin-stdlib-jdk8; Apache-2.0
org.jetbrains:annotations; Apache-2.0
org.jvnet.mimepull:mimepull; BSD-3-Clause
org.ow2.asm:asm; MIT
org.ow2.asm:asm-commons; MIT
org.ow2.asm:asm-tree; MIT
org.slf4j:slf4j-api; MIT
org.xerial.snappy:snappy-java; Apache-2.0
